mjd	w1mpro	w2mpro	w3mpro	w4mpro	ph_qual	sso_flg	date
55258.456067	16.719	15.034	10.322	7.395	UUBU	0	2010-03-03 10:56:44.189
55258.456195	17.235	15.479	10.173	6.827	UUBB	0	2010-03-03 10:56:55.248
55258.522283	17.14	15.71	10.093	7.735	UUBU	0	2010-03-03 12:32:05.251
55258.588499	17.179	15.445	10.078	7.535	UCBU	0	2010-03-03 14:07:26.314
55258.654587	17.212	14.779	10.068	7.727	UBBC	0	2010-03-03 15:42:36.317
55258.786891	16.938	15.356	9.833	7.363	UCBB	0	2010-03-03 18:53:07.382
55258.853107	17.065	15.245	9.949	7.206	UUBU	0	2010-03-03 20:28:28.445
55258.919323	17.16	15.057	10.18	7.911	UUBU	0	2010-03-03 22:03:49.507
55352.30434	10.886	10.91	10.349	7.936	AABU	0	2010-06-05 07:18:14.976
55352.50286	15.977	15.6	10.975	7.866	BUUC	0	2010-06-05 12:04:07.104
55352.635036	12.721	12.769	10.799	7.68	AAUU	0	2010-06-05 15:14:27.110
55352.635163	12.668	12.54	11.475	7.842	AAUU	0	2010-06-05 15:14:38.083
55352.701252	16.245	15.332	11.509	7.952	BUUU	1	2010-06-05 16:49:48.173
55353.031947	13.099	13.101	10.971	7.478	AAUU	0	2010-06-06 00:46:00.221
55353.561162	17.128	14.634	11.501	7.856	UBUU	0	2010-06-06 13:28:04.397
