mjd	w1mpro	w2mpro	w3mpro	w4mpro	ph_qual	sso_flg
55203.276312	16.163	14.093	9.273	6.678	UBAB	1
55227.560587	16.878	13.037	8.345	6.471	CAAB	1
55227.560715	16.601	13.222	8.358	6.578	BAAB	1
55227.693019	16.658	13.376	8.353	6.363	CAAB	1
55227.825323	16.15	13.163	8.269	6.39	BAAB	1
55227.957628	16.573	13.013	8.312	6.556	CAAB	1
55228.222364	16.301	13.131	8.276	6.519	BAAB	1
55228.288579	16.227	13.367	8.361	6.544	BAAB	1
55228.354668	16.33	13.247	8.259	6.389	UAAB	1
55228.420884	15.68	13.127	8.195	6.382	BAAB	1
55228.486972	16.141	13.195	8.265	6.507	BAAB	1
55228.487099	16.664	13.162	8.217	6.192	CAAB	1
55228.553188	16.305	13.233	8.175	6.364	BAAB	1
55228.619404	16.701	13.118	8.301	6.391	CAAB	1
55228.685492	16.415	13.049	8.232	6.415	BAAB	1
55228.685619	16.611	13.139	8.255	6.453	CAAB	1
55228.751708	15.604	13.042	8.171	6.23	BAAB	1
55228.817924	16.019	13.127	8.182	6.601	BAAB	1
55228.884012	16.805	13.065	8.239	6.123	CAAA	1
55228.88414	16.201	13.381	8.259	6.48	BAAB	1
55228.950228	16.345	13.165	8.304	6.429	BAAB	1
55229.016444	16.864	13.216	8.312	6.691	CAAB	1
55229.082532	16.338	13.099	8.225	6.119	BAAA	1
55229.08266	16.24	13.264	8.211	6.173	BAAB	1
55229.148748	16.157	13.091	8.218	6.165	BAAB	1
55229.281052	15.862	12.916	8.223	6.27	BAAB	1
55229.347268	16.082	13.088	8.147	6.238	BAAB	1
55229.612004	17.024	13.181	8.379	6.153	CAAA	1
55229.744309	15.323	12.978	8.207	6.276	BAAB	1
55229.876613	16.231	12.976	8.199	6.278	BAAB	1
55230.009044	16.024	13.104	8.137	6.126	BAAB	1
55232.92062	15.75	12.912	8.084	6.258	BAAB	1
